features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
GEX+PUTCALLRATIO,GRU,hurst,feature,False,False,False,,0.002188386361599599,0.04678019197908019,0.038156200884041085,0.0975492484790984,0.09799222790784068,44.678418468279006
GEX+PUTCALLRATIO,CNN,hurst,feature,False,False,False,,0.0027494307067954956,0.052435014129830225,0.04010533291569888,-0.1338152399143031,-0.12014965647293607,41.04934070084282
GEX+PUTCALLRATIO,CNN_LSTM,hurst,feature,False,False,False,,0.0029276698279052187,0.05410794606991859,0.04359759151257227,-0.20731781314288078,-0.19414903975294884,49.75597785377276
GEX+PUTCALLRATIO,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
GEX+PUTCALLRATIO,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
GEX+PUTCALLRATIO,ANN,wavelet,feature,False,False,False,,0.008534359981870618,0.09238159980142484,0.07492129839944292,-2.7548070443614043,-0.4844614016330431,85.57989409856862
GEX+PUTCALLRATIO,RNN,wavelet,feature,False,False,False,,0.01210042103896131,0.11000191379681223,0.09865273264767715,-4.32374381363653,-0.257617750547257,112.09862020878059
GEX+PUTCALLRATIO,LSTM,wavelet,feature,False,False,False,,0.012353433522683614,0.1111460009297843,0.10033587633146875,-4.4350600761576775,-0.20207159521921558,116.26715999213222
GEX+PUTCALLRATIO,GRU,wavelet,feature,False,False,False,,0.007992482156804105,0.08940068320099184,0.0827941139508388,-2.5164005699374123,0.31226252289566736,101.80564280415716
GEX+PUTCALLRATIO,CNN,wavelet,feature,False,False,False,,0.03640870634404574,0.19081065574030645,0.17544119549988252,-15.01850254115297,-1.5510923841224797,197.19710870361914
GEX+PUTCALLRATIO,CNN_LSTM,wavelet,feature,False,False,False,,0.006580108802551224,0.08111786981024109,0.07495645018885363,-1.8950078197976796,0.3849200858720504,94.07318594040022
SKEW+PUTCALLRATIO,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
SKEW+PUTCALLRATIO,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
SKEW+PUTCALLRATIO,ANN,none,feature,False,False,False,,0.003383997450270748,0.05817213637361746,0.04427398237559697,-0.009921666778190286,0.015474464129817789,42.81543548307446
SKEW+PUTCALLRATIO,RNN,none,feature,False,False,False,,0.0029527423980201055,0.054339142411526015,0.04513688548329952,0.11878227806096375,0.1350910562729144,53.64407688064692
SKEW+PUTCALLRATIO,LSTM,none,feature,False,False,False,,0.0028344439401211128,0.05323949605434966,0.04016744619808903,0.1540873211451662,0.212726168725073,39.18801548075049
SKEW+PUTCALLRATIO,GRU,none,feature,False,False,False,,0.003179384087631071,0.05638602741487532,0.04279716278995584,0.05114323391362896,0.13509809313609789,40.41960623174843
SKEW+PUTCALLRATIO,CNN,none,feature,False,False,False,,0.004116623952961476,0.06416092232006547,0.047386194495959155,-0.22856703799857914,-0.22781366294148997,48.15875724145314
SKEW+PUTCALLRATIO,CNN_LSTM,none,feature,False,False,False,,0.0028010599370751695,0.0529250407375863,0.0431674053453004,0.1640504574936259,0.16910506250149404,48.035719259276725
SKEW+PUTCALLRATIO,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
SKEW+PUTCALLRATIO,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
SKEW+PUTCALLRATIO,ANN,hurst,feature,False,False,False,,0.0035683100205398765,0.05973533309976497,0.045002701288479593,-0.47150618199884753,-0.2329414292407752,39.57188931082951
SKEW+PUTCALLRATIO,RNN,hurst,feature,False,False,False,,0.0023975028669344436,0.048964301965150524,0.0389473867316752,0.011313403334773708,0.021212753714439203,43.06605739801989
SKEW+PUTCALLRATIO,LSTM,hurst,feature,False,False,False,,0.0024216334249765343,0.049210094746673004,0.0402910108291585,0.0013623998822637207,0.015404133014201626,49.97949141281446
SKEW+PUTCALLRATIO,GRU,hurst,feature,False,False,False,,0.00261808936166091,0.051167268460031265,0.03888848841588478,-0.07965245691476275,0.04787931249415789,37.37569499249034
SKEW+PUTCALLRATIO,CNN,hurst,feature,False,False,False,,0.004472632763147736,0.0668777449017813,0.05142659783968052,-0.8444324408187815,-0.7206561784043306,60.317158772039434
SKEW+PUTCALLRATIO,CNN_LSTM,hurst,feature,False,False,False,,0.002243355602192221,0.047364075016748934,0.03835183519031314,0.07488093297786103,0.11472254795052517,45.16930979754431
SKEW+PUTCALLRATIO,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
